file,length,title
cases/boutique-law-firm-latam.html,68,Case Study: AI Growth System for a Boutique Law Firm (Spain ↔ LATAM)
ts-preview/index.html,74,"Throwin&#x27; Salt | Sell Your Luxury Watch - Best Prices, Instant Payment"
ts-preview/dashboard.html,74,"Throwin&#x27; Salt | Sell Your Luxury Watch - Best Prices, Instant Payment"
ts-preview/members.html,74,"Throwin&#x27; Salt | Sell Your Luxury Watch - Best Prices, Instant Payment"
ts-preview/wtb.html,74,"Throwin&#x27; Salt | Sell Your Luxury Watch - Best Prices, Instant Payment"
ts-preview/add-watch.html,74,"Throwin&#x27; Salt | Sell Your Luxury Watch - Best Prices, Instant Payment"
lead-magnets/cashflow-importer.html,61,Cashflow Template Gratis para Importadoras | Descarga | ZENIA
lead-magnets/ecommerce.html,69,47 Mensajes WhatsApp para Ecommerce — Recupera 30% más ventas | ZENIA
es/index.html,65,Agentes IA y CRM con WhatsApp para PYMEs en Espa&ntilde;a | ZENIA
es/crm-cdmx.html,64,Agencia de IA en Ciudad de México: CRM y Agente WhatsApp | ZENIA
es/crm-palma.html,65,Agencia de IA en Palma de Mallorca: CRM y Agente WhatsApp | ZENIA
es/caso-despacho-boutique.html,93,Caso de Éxito: Sistema de Captación IA para un Despacho de Abogados Boutique (España ↔ LATAM)
es/crm-san-sebastian.html,61,Agencia de IA en San Sebastián: CRM y Agente WhatsApp | ZENIA
blog/agente-ia-para-dietistas.html,68,Agente IA para Dietistas: Consulta 24/7 sin Perder Pacientes | ZENIA
blog/ai-agent-for-med-spas.html,62,AI Agent for Med Spas: 2026 Booking &amp; Rebook Guide | ZENIA
blog/index.html,63,Blog de Zenia: Agentes de IA y CRM con WhatsApp para tu Negocio
blog/crm-clinica-dental.html,68,CRM Clínica Dental 2026: Sube Retención del 41% al 90% (Comparativa)
blog/agente-ia-para-heladerias.html,62,Agente IA para Heladerías: Pedidos y Fidelización 24/7 | ZENIA
blog/crm-para-ecommerce-espana-2026.html,61,CRM para Ecommerce 2026: Recupera 27% de Carritos Abandonados
blog/agente-ia-para-clinicas-de-medicina-deportiva.html,71,Agente IA para Medicina Deportiva: Lesiones y Vuelta a Competir | ZENIA
blog/ai-agent-for-gyms.html,61,AI Agent for Gyms: 2026 Booking &amp; Retention Guide | ZENIA
blog/agente-ia-para-centros-de-estetica.html,66,Agente IA para Centros de Estética: Cabinas Llenas y Bonos | ZENIA
blog/whatsapp-crm-pymes-guia.html,61,WhatsApp como CRM 2026: Convierte 3x Más Leads sin Salesforce
blog/agente-ia-para-clinicas-esteticas.html,63,Agente IA para Clínicas Estéticas: Llena tu Agenda 24/7 | ZENIA
blog/agente-ia-para-clinicas-de-medicina-estetica.html,72,"Agente IA para Medicina Estética: Botox, Rellenos y Aparatología | ZENIA"
blog/sistema-ia-despachos-extranjeria.html,75,IA para Despachos de Extranjería: de la Audiencia a Citas Agendadas | ZENIA
blog/agente-ia-para-clinicas-de-traumatologia.html,66,Agente IA para Traumatología: Post-operatorio y Revisiones | ZENIA
blog/automatizacion-whatsapp-negocios.html,64,Automatizar WhatsApp Business 2026: De Cero a 24/7 sin Contratar
blog/crm-restaurantes-guia-completa.html,67,CRM para Restaurantes 2026: 12 Funciones que Aumentan tu Ticket 40%
blog/agente-ia-para-apartamentos-turisticos.html,61,Agente IA para Apartamentos Turísticos: Reservas 24/7 | ZENIA
blog/agente-ia-para-fisioterapia.html,64,Agente de IA para Fisioterapia: Agenda por WhatsApp 24/7 | ZENIA
blog/agente-ia-para-relojerias.html,61,"Agente IA para Relojerías: Ventas, Taller y Postventa | ZENIA"
